--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		 File is Created at  Fri Jun 20 17:27:33 2025
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 13080, 'username': None, 'name': 'svchost.exe'} 

{'pid': 13088, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SnippingTool.exe'} 

{'pid': 13372, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'cmd.exe'} 

{'pid': 13388, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'browserhost.exe'} 

{'pid': 13540, 'username': None, 'name': 'svchost.exe'} 

{'pid': 13584, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SystemSettings.exe'} 

{'pid': 13588, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ms-teams.exe'} 

{'pid': 13648, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 13892, 'username': None, 'name': 'svchost.exe'} 

{'pid': 14144, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 14332, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 14964, 'username': None, 'name': 'svchost.exe'} 

{'pid': 14980, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SynTPEnh.exe'} 

{'pid': 15112, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 15144, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 15256, 'username': None, 'name': 'svchost.exe'} 

{'pid': 15284, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SearchHost.exe'} 

{'pid': 15672, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'cmd.exe'} 

{'pid': 15888, 'username': None, 'name': 'SearchProtocolHost.exe'} 

{'pid': 15960, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 16076, 'username': None, 'name': 'svchost.exe'} 

{'pid': 16344, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ctfmon.exe'} 

{'pid': 16496, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OneDrive.exe'} 

{'pid': 16556, 'username': None, 'name': 'svchost.exe'} 

{'pid': 16632, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'CodeSetup-stable-18e3a1ec544e6907be1e944a94c496e302073435.tmp'} 

{'pid': 16636, 'username': None, 'name': 'servicehost.exe'} 

{'pid': 16904, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'dllhost.exe'} 

{'pid': 16908, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ApplicationFrameHost.exe'} 

{'pid': 17420, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'} 

{'pid': 17496, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 17552, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'WhatsApp.exe'} 

{'pid': 18236, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'WindowsTerminal.exe'} 

{'pid': 18280, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'backgroundTaskHost.exe'} 

{'pid': 18308, 'username': None, 'name': 'mcapexe.exe'} 

{'pid': 18316, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'UserOOBEBroker.exe'} 

{'pid': 18520, 'username': None, 'name': 'MfeAVSvc.exe'} 

{'pid': 18536, 'username': None, 'name': 'svchost.exe'} 

{'pid': 18676, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ShellExperienceHost.exe'} 

{'pid': 19108, 'username': None, 'name': 'svchost.exe'} 

{'pid': 19124, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 19184, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Widgets.exe'} 

{'pid': 19268, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'StartMenuExperienceHost.exe'} 

{'pid': 19368, 'username': None, 'name': 'mcshield.exe'} 

{'pid': 19396, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'dllhost.exe'} 

{'pid': 19464, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'sihost.exe'} 

{'pid': 19864, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 20256, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 20520, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'cmd.exe'} 

{'pid': 20620, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ModuleCoreService.exe'} 

{'pid': 20716, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'} 

{'pid': 20752, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'McUICnt.exe'} 

{'pid': 20868, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 20892, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 21064, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Video.UI.exe'} 

{'pid': 21132, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'pgavgui.exe'} 

{'pid': 21164, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HP.myHP.exe'} 

{'pid': 21208, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'CodeSetup-stable-18e3a1ec544e6907be1e944a94c496e302073435.exe'} 

{'pid': 21340, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SECOCL64.exe'} 

{'pid': 21368, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'} 

{'pid': 21392, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'LockApp.exe'} 

{'pid': 21532, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RtkAudUService64.exe'} 

{'pid': 21896, 'username': None, 'name': 'svchost.exe'} 

{'pid': 21928, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'DesktopExtension.exe'} 

{'pid': 22112, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 22184, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'} 

{'pid': 22260, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 22372, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'} 

{'pid': 22460, 'username': None, 'name': 'RtkAudUService64.exe'} 

{'pid': 22464, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'} 

{'pid': 22468, 'username': None, 'name': 'winlogon.exe'} 

{'pid': 22520, 'username': None, 'name': 'svchost.exe'} 

{'pid': 22536, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'chrome.exe'} 

{'pid': 22580, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'WidgetService.exe'} 

