--------------------------------------------------------------------------------
Information of Current running Processes
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 11288, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 11328, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 11408, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'}
{'pid': 11568, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SynTPEnh.exe'}
{'pid': 11752, 'username': None, 'name': 'svchost.exe'}
{'pid': 11768, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OmenCommandCenterBackground.exe'}
{'pid': 11828, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SearchHost.exe'}
{'pid': 11936, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SystemSettingsBroker.exe'}
{'pid': 11944, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'pet.exe'}
{'pid': 12084, 'username': None, 'name': 'SearchIndexer.exe'}
{'pid': 12160, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'}
{'pid': 12216, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'}
{'pid': 12388, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ModuleCoreService.exe'}
{'pid': 12396, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPSystemEventUtilityHost.exe'}
{'pid': 12452, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'TabTip.exe'}
{'pid': 12644, 'username': None, 'name': 'svchost.exe'}
{'pid': 12712, 'username': None, 'name': 'svchost.exe'}
{'pid': 12972, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'}
{'pid': 13044, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 13084, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 13124, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HpSystemManagement.exe'}
{'pid': 13540, 'username': None, 'name': 'svchost.exe'}
{'pid': 13612, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 13784, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'PhoneExperienceHost.exe'}
{'pid': 13856, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ShellExperienceHost.exe'}
{'pid': 13944, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ms-teams.exe'}
{'pid': 14148, 'username': None, 'name': 'QcShm.exe'}
{'pid': 14208, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'LocationNotificationWindows.exe'}
{'pid': 14308, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'}
{'pid': 14716, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPEnhancedLighting.Bg.exe'}
{'pid': 14760, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'WhatsApp.exe'}
{'pid': 14964, 'username': None, 'name': 'svchost.exe'}
{'pid': 14996, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 15068, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'explorer.exe'}
{'pid': 15108, 'username': None, 'name': 'winlogon.exe'}
{'pid': 15248, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 15256, 'username': None, 'name': 'svchost.exe'}
{'pid': 15440, 'username': None, 'name': 'csrss.exe'}
{'pid': 15516, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'}
{'pid': 15588, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OmenInstallMonitor.exe'}
{'pid': 15632, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'}
{'pid': 15776, 'username': None, 'name': 'svchost.exe'}
{'pid': 15904, 'username': None, 'name': 'dwm.exe'}
{'pid': 15916, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RtkAudUService64.exe'}
{'pid': 16060, 'username': None, 'name': 'MoUsoCoreWorker.exe'}
{'pid': 16076, 'username': None, 'name': 'svchost.exe'}
{'pid': 16080, 'username': None, 'name': 'svchost.exe'}
{'pid': 16380, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ipf_helper.exe'}
{'pid': 16540, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'}
{'pid': 16568, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 16600, 'username': None, 'name': 'svchost.exe'}
{'pid': 16784, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 17080, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'pet.exe'}
{'pid': 17316, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'backgroundTaskHost.exe'}
{'pid': 17380, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedgewebview2.exe'}
{'pid': 17608, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'StartMenuExperienceHost.exe'}
{'pid': 17740, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'conhost.exe'}
{'pid': 17972, 'username': None, 'name': 'servicehost.exe'}
{'pid': 18168, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'powershell.exe'}
{'pid': 18276, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 18308, 'username': None, 'name': 'mcapexe.exe'}
{'pid': 18460, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 18520, 'username': None, 'name': 'MfeAVSvc.exe'}
{'pid': 18536, 'username': None, 'name': 'svchost.exe'}
{'pid': 18768, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HP.myHP.exe'}
{'pid': 18844, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 19136, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 19144, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 19264, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 19368, 'username': None, 'name': 'mcshield.exe'}
{'pid': 19408, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'EdrawMaxTray.exe'}
{'pid': 20028, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 20064, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'powershell.exe'}
{'pid': 20068, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 20512, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'svchost.exe'}
{'pid': 20608, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'WidgetService.exe'}
{'pid': 20624, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ExpressVPNNotificationService.exe'}
{'pid': 20648, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'}
{'pid': 20824, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 21032, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OneDrive.exe'}
{'pid': 21252, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'OpenConsole.exe'}
{'pid': 21332, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 21472, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 21604, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'}
{'pid': 21640, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'HPCC.Bg.BackgroundApp.exe'}
{'pid': 21764, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'dllhost.exe'}
{'pid': 21920, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 22160, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'dllhost.exe'}
{'pid': 22196, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'sihost.exe'}
{'pid': 22236, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 22472, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Code.exe'}
{'pid': 22548, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'msedge.exe'}
{'pid': 22608, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'RuntimeBroker.exe'}
{'pid': 22668, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'Widgets.exe'}
{'pid': 22740, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'ctfmon.exe'}
{'pid': 23060, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'LockApp.exe'}
{'pid': 23184, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'WindowsTerminal.exe'}
{'pid': 23196, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SystemOptimizer.exe'}
{'pid': 23208, 'username': 'LAPTOP-0V7CS9RT\\hp', 'name': 'SecurityHealthSystray.exe'}
{'pid': 23228, 'username': None, 'name': 'RtkAudUService64.exe'}
